"Hand: AAQQT, jokers: 0, comb: two_pair"
"Hand: AAQQT, jokers: 0, comb: two_pair --> two_pair"
"Hand: 3555K, jokers: 0, comb: three_kind"
"Hand: 3555K, jokers: 0, comb: three_kind --> three_kind"
"Hand: 456QT, jokers: 0, comb: higher_card"
"Hand: 456QT, jokers: 0, comb: higher_card --> higher_card"
"Hand: 3AAAJ, jokers: 1, comb: three_kind"
"Hand: 3AAAJ, jokers: 1, comb: three_kind --> four_kind"
"Hand: 9KQQQ, jokers: 0, comb: three_kind"
"Hand: 9KQQQ, jokers: 0, comb: three_kind --> three_kind"
"Hand: JJQQQ, jokers: 2, comb: full_house"
"Hand: JJQQQ, jokers: 2, comb: full_house --> five_kind"
"Hand: 577AJ, jokers: 1, comb: one_pair"
"Hand: 577AJ, jokers: 1, comb: one_pair --> two_pair"
"Hand: 7888J, jokers: 1, comb: three_kind"
"Hand: 7888J, jokers: 1, comb: three_kind --> four_kind"
"Hand: 34AKK, jokers: 0, comb: one_pair"
"Hand: 34AKK, jokers: 0, comb: one_pair --> one_pair"
"Hand: 399AA, jokers: 0, comb: two_pair"
"Hand: 399AA, jokers: 0, comb: two_pair --> two_pair"
"Hand: 45578, jokers: 0, comb: one_pair"
"Hand: 45578, jokers: 0, comb: one_pair --> one_pair"
"Hand: AAAAK, jokers: 0, comb: four_kind"
"Hand: AAAAK, jokers: 0, comb: four_kind --> four_kind"
"Hand: 6799J, jokers: 1, comb: one_pair"
"Hand: 6799J, jokers: 1, comb: one_pair --> two_pair"
"Hand: 2678Q, jokers: 0, comb: higher_card"
"Hand: 2678Q, jokers: 0, comb: higher_card --> higher_card"
"Hand: 2225K, jokers: 0, comb: three_kind"
"Hand: 2225K, jokers: 0, comb: three_kind --> three_kind"
"Hand: 44AAA, jokers: 0, comb: full_house"
"Hand: 44AAA, jokers: 0, comb: full_house --> full_house"
"Hand: 239TT, jokers: 0, comb: one_pair"
"Hand: 239TT, jokers: 0, comb: one_pair --> one_pair"
"Hand: 55666, jokers: 0, comb: full_house"
"Hand: 55666, jokers: 0, comb: full_house --> full_house"
"Hand: 66KKK, jokers: 0, comb: full_house"
"Hand: 66KKK, jokers: 0, comb: full_house --> full_house"
"Hand: 2344T, jokers: 0, comb: one_pair"
"Hand: 2344T, jokers: 0, comb: one_pair --> one_pair"
"Hand: 3666T, jokers: 0, comb: three_kind"
"Hand: 3666T, jokers: 0, comb: three_kind --> three_kind"
"Hand: QQTTT, jokers: 0, comb: full_house"
"Hand: QQTTT, jokers: 0, comb: full_house --> full_house"
"Hand: 3338T, jokers: 0, comb: three_kind"
"Hand: 3338T, jokers: 0, comb: three_kind --> three_kind"
"Hand: 2899Q, jokers: 0, comb: one_pair"
"Hand: 2899Q, jokers: 0, comb: one_pair --> one_pair"
"Hand: 58JQQ, jokers: 1, comb: one_pair"
"Hand: 58JQQ, jokers: 1, comb: one_pair --> two_pair"
"Hand: 2JJQQ, jokers: 2, comb: two_pair"
"Hand: 2JJQQ, jokers: 2, comb: two_pair --> four_kind"
"Hand: 356AT, jokers: 0, comb: higher_card"
"Hand: 356AT, jokers: 0, comb: higher_card --> higher_card"
"Hand: 8JQQT, jokers: 1, comb: one_pair"
"Hand: 8JQQT, jokers: 1, comb: one_pair --> two_pair"
"Hand: 444TT, jokers: 0, comb: full_house"
"Hand: 444TT, jokers: 0, comb: full_house --> full_house"
"Hand: 2355J, jokers: 1, comb: one_pair"
"Hand: 2355J, jokers: 1, comb: one_pair --> two_pair"
"Hand: 2478Q, jokers: 0, comb: higher_card"
"Hand: 2478Q, jokers: 0, comb: higher_card --> higher_card"
"Hand: 377AJ, jokers: 1, comb: one_pair"
"Hand: 377AJ, jokers: 1, comb: one_pair --> two_pair"
"Hand: 99KKT, jokers: 0, comb: two_pair"
"Hand: 99KKT, jokers: 0, comb: two_pair --> two_pair"
"Hand: 2367A, jokers: 0, comb: higher_card"
"Hand: 2367A, jokers: 0, comb: higher_card --> higher_card"
"Hand: 22AQT, jokers: 0, comb: one_pair"
"Hand: 22AQT, jokers: 0, comb: one_pair --> one_pair"
"Hand: 99AAJ, jokers: 1, comb: two_pair"
"Hand: 99AAJ, jokers: 1, comb: two_pair --> full_house"
"Hand: 9QQQT, jokers: 0, comb: three_kind"
"Hand: 9QQQT, jokers: 0, comb: three_kind --> three_kind"
"Hand: 4666J, jokers: 1, comb: three_kind"
"Hand: 4666J, jokers: 1, comb: three_kind --> four_kind"
